令和4年(2022)人口動態統計 (確定数)の概況表2-2人口動態総覧(率)の年次推移人口千対 
令和4年(2022)人口動態統計 上巻 婚姻 第9.5表 夫妻の初婚−再婚の組合せ別にみた年次別婚姻件数及び百分率
"年","人口千対出生率","人口千対婚姻率","人口千対離婚率","期間合計特殊出生率","夫婦ともに初婚割合","夫婦ともに再婚割合","妻初婚夫再婚割合","妻再婚夫初婚割合"
1999,9.4,6.1,2.00,1.34,79.8,7.1,7.4,5.8
2000,9.5,6.4,2.10,1.36,79.0,7.4,7.7,6.0
2001,9.3,6.4,2.27,1.33,77.9,7.6,8.0,6.4
2002,9.2,6.0,2.30,1.32,77.0,8.1,8.2,6.7
2003,8.9,5.9,2.25,1.29,76.1,8.5,8.6,6.9
2004,8.8,5.7,2.15,1.29,75.2,8.8,8.9,7.0
2005,8.4,5.7,2.08,1.26,74.7,9.0,9.3,7.1
2006,8.7,5.8,2.04,1.32,74.1,9.1,9.7,7.1
2007,8.6,5.7,2.02,1.34,73.9,9.3,9.5,7.2
2008,8.7,5.8,1.99,1.37,74.1,9.3,9.4,7.3
2009,8.5,5.6,2.01,1.37,74.1,9.3,9.4,7.2
2010,8.5,5.5,1.99,1.39,74.4,9.1,9.4,7.1
2011,8.3,5.2,1.87,1.39,74.1,9.2,9.5,7.1
2012,8.2,5.3,1.87,1.41,74.0,9.3,9.7,7.1
2013,8.2,5.3,1.84,1.43,73.7,9.4,9.8,7.1
2014,8.0,5.1,1.77,1.42,73.6,9.5,9.8,7.1
2015,8.0,5.1,1.81,1.45,73.2,9.7,10.0,7.1
2016,7.8,5.0,1.73,1.44,73.3,9.6,10.0,7.2
2017,7.6,4.9,1.70,1.43,73.4,9.6,9.9,7.1
2018,7.4,4.7,1.68,1.42,73.3,9.8,9.9,7.1
2019,7.0,4.8,1.69,1.36,73.3,9.9,9.8,7.0
2020,6.8,4.3,1.57,1.33,73.6,9.8,9.6,7.0
2021,6.6,4.1,1.50,1.30,74.0,9.8,9.4,6.8
2022,6.3,4.1,1.47,1.26,74.8,9.4,9.2,6.6
2023,6.0,3.9,1.52,1.20,NaN,NaN,NaN,NaN
